,identification,Ca,Mg,Na,K,SO4,Cl,HCO3,CO3,Ca_mmol,Mg_mmol,Na_mmol,K_mmol,SO4_mmol,Cl_mmol,HCO3_mmol,CO3_mmol,GMC,7 hlr (b),7 hlr (b+h),Catboost (b),Catboost (b+h),SVM-L (b),SVM-L (b+h),SVM-P (b),SVM-P (b+h),SVM-RBF (b),SVM-RBF (b+h)
91,DLPUE2077-110218,46.4614,21.8255,32.7289,2.2994,28.255,25.808000000000003,170.405,29.55,1.159274415,0.8979839540000001,1.423628902,0.058810741,0.294151328,0.728011283,2.792792055,0.492434342,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
92,DLPUE5408-041118,108.656,36.2589,57.3363,15.5795,140.168,54.841,297.0,26.0,2.711113329,1.4918288419999999,2.493991971,0.39847001,1.459232115,1.546995769,4.867575718,0.433275563,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3
93,DLPUE5408-110218,102.294,34.0279,75.1415,13.8935,71.301,79.408,380.0,50.0,2.552372873,1.4000370290000002,3.268475603,0.355347931,0.74228575,2.24,6.227874656,0.833222237,Na-HCO3,Na-HCO3,Na-Ca-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
94,DLPUE5409-110218,67.6033,17.7001,42.8797,11.534,13.690999999999999,13.895999999999999,300.0,50.0,1.686793253,0.7282493309999999,1.865164434,0.295000038,0.14253144,0.39198871700000004,4.916743149,0.833222237,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3
95,DLPUE5409-021016,59.5014,18.1603,32.7362,10.8719,10.728,15.39,274.0,18.0,1.484639952,0.747183707,1.423946435,0.27806579800000003,0.111684851,0.434132581,4.49062541,0.299960005,Ca-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3
96,DLPUE5409-041118,78.4257,19.6225,40.1442,12.7676,11.067,17.973,259.0,34.0,1.956826688,0.807344168,1.7461767240000001,0.326551282,0.11521404199999999,0.506995769,4.244788252,0.566591121,Ca-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3
97,DLPUE5410-110218,138.08,54.5663,127.773,10.5292,93.789,31.267,525.0,270.0,3.4452817010000003,2.245064801,5.5578200220000005,0.269300711,0.976399184,0.8820028209999999,8.604300511,4.49940008,Na-HCO3,Na-HCO3,Na-Ca-HCO3-CO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
98,DLPUE5411-110218,81.7974,29.9651,119.87700000000001,12.0477,41.854,19.355999999999998,286.0,26.0,2.040955137,1.232878009,5.214362899,0.308138717,0.435724994,0.5460084629999999,4.687295136,0.433275563,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
99,DLPUE5411-021016,71.5674,21.8953,29.2168,9.381780000000001,25.388,19.36,278.0,26.0,1.785702879,0.9008557909999999,1.270860949,0.239953655,0.264304156,0.546121298,4.556181985,0.433275563,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Na-HCO3,Na-HCO3
100,DLPUE5412-021016,82.7912,23.6442,26.7983,8.58837,22.281999999999996,13.4,290.0,50.0,2.065751784,0.972812179,1.165661981,0.219660957,0.231968852,0.37799717899999996,4.752851711,0.833222237,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
