,hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,CationC,AnionC
73,4.37941439,-7.5456759589999995,-5.518537047000001,-0.9127867209999999,-7.6880911460000005,-4.406765995,23.34735883,3,2
74,1.90663795,-6.964574065,-4.014887116000001,-1.978201747,-6.855335768,-5.339990339,23.79607154,3,2
75,0.261283906,-6.930944304,-4.784778686,-0.512899814,-7.019096252000001,-4.559430642,23.83425712,3,2
76,2.92658654,-7.970574912000001,-6.159002695,1.251047421,-8.178771027,-1.9247355519999998,24.44829877,3,2
77,1.7075473540000001,-7.0749936,-4.999908762,-0.019290615,-7.223178549,-4.608252406,23.92240121,3,2
78,1.98254709,-7.258098261000001,-5.291368477,-0.19854170699999998,-7.46984276,-4.45581978,23.60961872,3,2
79,1.995379812,-7.066490298,-4.90215522,-0.630678844,-7.134763228,-4.86095159,23.8848134,3,2
80,3.667179543,-7.877317132000001,-5.999903013,0.193337443,-8.053145496,-2.266168386,24.37797544,3,2
81,2.2270183230000002,-7.02889339,-4.0493247000000006,-2.495546365,-6.942342012,-4.862580965,23.74873055,3,2
82,2.254943656,-7.282950719,-5.207021643,-0.9759647659999999,-7.356694372000001,-4.53210201,23.65887424,3,2
83,3.732247224,-7.21543451,-5.088823948,-2.172772348,-7.325765933,-4.901178823,23.74992094,3,2
84,3.0973105710000004,-7.91361561,-5.994293562,1.170460198,-8.076418158,-2.4894988419999997,24.36771155,3,2
85,2.7736338330000003,-7.1341732129999995,-5.074557712,-1.8731202519999999,-7.294716847999999,-4.466410386000001,23.70756829,3,2
86,0.23736051100000002,-6.993186742000001,-4.871677059,-0.40329199600000004,-7.104437973,-4.224383061,23.94386494,3,2
87,0.18917339800000002,-6.8773978179999995,-4.803305289,-0.822542953,-7.008969004,-3.3304619289999997,24.0354396,3,2
88,3.664485739,-7.478338034,-5.358073144,-1.032705587,-7.577092095,-4.702294982,23.39449405,3,2
89,0.799546213,-7.141090427999999,-5.088082136000001,-0.262318151,-7.316495575,-4.227658827,23.67937367,3,2
90,1.8359301319999999,-7.942863321,-6.253382345,1.6007448169999998,-8.200338368999999,-1.2448667009999999,24.56160739,3,2
91,-2.719922105,-7.567936615,-2.301683616,1.0175368790000001,-7.655397102999999,-2.538600362,26.34552306,3,2
92,1.729273483,-7.059772156,-4.97337178,-1.630855722,-7.173534267000001,-3.786640427,24.4210493,3,2
93,1.748864246,-7.145541908999999,-5.005074312,-1.580493301,-7.201047974,-3.767049665,24.44064006,3,2
94,3.994094748,-7.574386584,-5.328558471,-0.766144458,-7.479431865,-6.241624819,23.58101247,3,2
95,3.060781001,-8.010185743,-6.13157621,0.9284834790000001,-8.19415283,-1.583699926,24.58249323,3,2
96,-1.062993112,-6.964038549,-4.734308708,0.526367586,-7.132721423,-2.933110252,25.78981525,3,2
97,3.563346427,-7.332105181,-5.286345536000001,-1.76041203,-7.463893402999999,-2.818523245,24.19618281,3,2
98,1.748864246,-7.145541908999999,-5.005074312,-1.580493301,-7.201047974,-3.767049665,24.44064006,3,2
99,3.728048893,-7.510226007000001,-5.505099757000001,-2.168320949,-7.606278755,-3.3906128110000004,23.92803584,3,2
100,-0.572582551,-7.6944563960000005,-5.311161843,1.8431206169999999,-8.211265102,-0.456501316,26.88342473,3,2
101,0.67549051,-6.667386409,-3.2962777610000003,-2.864044925,-6.706944211000001,-2.851220632,24.86750227,3,2
102,3.561668599,-7.3407520470000005,-5.304513163,-1.591696872,-7.536619911,-2.8436044810000003,24.19450499,3,2
103,2.125491344,-8.059484853999999,-6.199975001,1.197159516,-8.270337,-1.0006045890000002,24.66884771,3,2
